date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),medianTxValue(USD),activeAddresses,paymentCount,blockCount
2017-06-20,,1,,,,,2,1,
2017-06-21,,,,,,,,,
2017-06-22,,,,,,,,,
2017-06-23,,,,,,,,,
2017-06-24,,,,,,,,,
2017-06-25,,,,,,,,,
2017-06-26,,,,,,,,,
2017-06-27,,,,,,,,,
2017-06-28,,,,,,,,,
2017-06-29,,,,,,,,,
2017-06-30,,,,,,,,,
2017-07-01,,,0.0,1.03,13613000.0,,,,
2017-07-02,43805833.207854964,13430,0.0,0.996521,320452000.0,303.3743255324551,8274,13430,
2017-07-03,115767930.243045,25440,435552942.27872866,2.72,414950016.00000006,248.80559106139776,12510,25440,
2017-07-04,64268039.19303879,15360,669328232.5519288,4.1,218559008.0,66.1009344417703,7174,15360,
2017-07-05,77512692.37769468,13733,560701592.64,3.36,124339000.0,3.36,5758,13733,
2017-07-06,96279511.90360974,20241,509157190.5208333,3.01,177463008.0,31.239285,9250,20241,
2017-07-07,47604785.361588776,11415,575649024.3035715,3.35,96596496.0,60.11495994050575,5357,11415,
2017-07-08,82262221.43717407,8490,532857517.27413124,2.82,151162000.0,56.4,3824,8490,
2017-07-09,88548363.17932297,8924,536670870.7423581,2.6,87525104.0,80.60000000000001,4472,8924,
2017-07-10,42827979.99813307,11608,469612058.6065573,2.25,79608800.0,292.5,7129,11608,
2017-07-11,66540266.169011466,13162,375736916.98192775,1.79,111023000.0,197.0356858119106,8069,13162,
2017-07-12,86440534.91061045,18155,349336241.5458937,1.64,104621000.0,307.9798968,11870,18155,
2017-07-13,24739184.278792214,8664,446072451.12643677,2.08,51203900.0,83.2,4446,8664,
2017-07-14,26216280.856523864,10261,376673103.13548386,1.73,41025200.0,112.17131570744789,4836,10261,
2017-07-15,18677267.643557597,7194,342147383.9230769,1.55,34208800.0,84.3295945,3551,7194,
2017-07-16,14510090.073072122,7227,287649603.55200005,1.29,30802800.0,11.61,2884,7227,
